Time,chillersFMU.mCenChi,chillersFMU.mAbsChi,chillersFMU.TWetBul,chillersFMU.Qchp,chillersFMU.mChiWat,chillersFMU.pChi,chillersFMU.pFan,chillersFMU.TchiSup,chillersFMU.TchiAbsSup,chillersFMU.QchiAbs,chillersFMU.pPumAbs,chillersFMU.pFanAbs,chillersFMU.absChiOn,chillersFMU.yVal,chillersFMU.pPum
0,0,0,264.37,1000000,0,0,5000,293.15,293.15,0,0,0,0,0,0
3600,0,0,264.37,1000456.6,0,0,5000,293.15,293.15,0,0,0,0,0,0
7200,0,0,263.23,1000913.25,0,0,5000,293.15,293.15,0,0,0,0,0,0
10800,0,0,262.86,1001369.9,0,0,5000,293.15,293.15,0,0,0,0,0,0
14400,0,0,261.82,1001826.5,0,0,5000,293.15,293.15,0,0,0,0,0,0
18000,0,0,262.16,1002283.1,0,0,5000,293.15,293.15,0,0,0,0,0,0
21600,0,0,262.06,1002739.75,0,0,5000,293.15,293.15,0,0,0,0,0,0
25200,0,0,261.6,1003196.4,0,0,5000,293.15,293.15,0,0,0,0,0,0
28800,0,0,262.06,1003652.94,0,0,5000,293.15,293.15,0,0,0,0,0,0
32400,0,0,264.72,1004109.56,0,0,5000,293.15,293.15,0,0,0,0,0,0
36000,0,0,266.59,1004566.2,0,0,5000,293.15,293.15,0,0,0,0,0,0
39600,0,0,267.77,1005022.8,0,0,5000,293.15,293.15,0,0,0,0,0,0
43200,0,0,269.7,1005479.44,0,0,5000,293.15,293.15,0,0,0,0,0,0
46800,0,0,270.84,1005936.06,0,0,5000,293.15,293.15,0,0,0,0,0,0
50400,0,0,271.31,1006392.7,0,0,5000,293.15,293.15,0,0,0,0,0,0
54000,0,0,271.31,1006849.3,0,0,5000,293.15,293.15,0,0,0,0,0,0
57600,0,0,270.65,1007305.94,0,0,5000,293.15,293.15,0,0,0,0,0,0
61200,0,0,269.65,1007762.56,0,0,5000,293.15,293.15,0,0,0,0,0,0
64800,0,0,268.15,1008219.2,0,0,5000,293.15,293.15,0,0,0,0,0,0
68400,0,0,267.66,1008675.8,0,0,5000,293.15,293.15,0,0,0,0,0,0
72000,0,0,267.06,1009132.44,0,0,5000,293.15,293.15,0,0,0,0,0,0
75600,0,0,267.51,1009589.06,0,0,5000,293.15,293.15,0,0,0,0,0,0
79200,0,0,267.66,1010045.7,0,0,5000,293.15,293.15,0,0,0,0,0,0
82800,0,0,268.5,1010502.3,0,0,5000,293.15,293.15,0,0,0,0,0,0
86400,0,0,268.2,1010958.9,0,0,5000,293.15,293.15,0,0,0,0,0,0
90000,0,0,267.94,1011415.5,0,0,5000,293.15,293.15,0,0,0,0,0,0
93600,0,0,267.91,1011872.1,0,0,5000,293.15,293.15,0,0,0,0,0,0
97200,0,0,267.66,1012328.75,0,0,5000,293.15,293.15,0,0,0,0,0,0
100800,0,0,268.41,1012785.4,0,0,5000,293.15,293.15,0,0,0,0,0,0
104400,0,0,268.51,1013242,0,0,5000,293.15,293.15,0,0,0,0,0,0
108000,0,0,267.8,1013698.6,0,0,5000,293.15,293.15,0,0,0,0,0,0
111600,0,0,268.66,1014155.25,0,0,5000,293.15,293.15,0,0,0,0,0,0
115200,0,0,267.61,1014611.9,0,0,5000,293.15,293.15,0,0,0,0,0,0
118800,0,0,269.21,1015068.5,0,0,5000,293.15,293.15,0,0,0,0,0,0
122400,0,0,270.82,1015525.1,0,0,5000,293.15,293.15,0,0,0,0,0,0
126000,0,0,272.93,1015981.75,0,0,5000,293.15,293.15,0,0,0,0,0,0
129600,0,0,273.07,1016438.4,0,0,5000,293.15,293.15,0,0,0,0,0,0
133200,0,0,273.65,1016895,0,0,5000,293.15,293.15,0,0,0,0,0,0
136800,0,0,273.8,1017351.6,0,0,5000,293.15,293.15,0,0,0,0,0,0
140400,0,0,274.07,1017808.25,0,0,5000,293.15,293.15,0,0,0,0,0,0
144000,0,0,274.37,1018264.8,0,0,5000,293.15,293.15,0,0,0,0,0,0
147600,0,0,274.08,1018721.44,0,0,5000,293.15,293.15,0,0,0,0,0,0
151200,0,0,273.46,1019178.06,0,0,5000,293.15,293.15,0,0,0,0,0,0
154800,0,0,272.53,1019634.7,0,0,5000,293.15,293.15,0,0,0,0,0,0
158400,0,0,272.26,1020091.3,0,0,5000,293.15,293.15,0,0,0,0,0,0
162000,0,0,271.38,1020547.94,0,0,5000,293.15,293.15,0,0,0,0,0,0
165600,0,0,271.26,1021004.56,0,0,5000,293.15,293.15,0,0,0,0,0,0
169200,0,0,270.14,1021461.2,0,0,5000,293.15,293.15,0,0,0,0,0,0
172800,0,0,269.61,1021917.8,0,0,5000,293.15,293.15,0,0,0,0,0,0
176400,0,0,269.13,1022374.44,0,0,5000,293.15,293.15,0,0,0,0,0,0
180000,0,0,267.63,1022831.06,0,0,5000,293.15,293.15,0,0,0,0,0,0
183600,0,0,267.63,1023287.7,0,0,5000,293.15,293.15,0,0,0,0,0,0
187200,0,0,266.91,1023744.3,0,0,5000,293.15,293.15,0,0,0,0,0,0
190800,0,0,265.69,1024200.94,0,0,5000,293.15,293.15,0,0,0,0,0,0
194400,0,0,265.06,1024657.56,0,0,5000,293.15,293.15,0,0,0,0,0,0
198000,0,0,265.59,1025114.1,0,0,5000,293.15,293.15,0,0,0,0,0,0
201600,0,0,266.38,1025570.75,0,0,5000,293.15,293.15,0,0,0,0,0,0
205200,0,0,268.31,1026027.4,0,0,5000,293.15,293.15,0,0,0,0,0,0
208800,0,0,270.36,1026484,0,0,5000,293.15,293.15,0,0,0,0,0,0
212400,0,0,272.01,1026940.6,0,0,5000,293.15,293.15,0,0,0,0,0,0
216000,0,0,273.62,1027397.25,0,0,5000,293.15,293.15,0,0,0,0,0,0
219600,0,0,274.71,1027853.9,0,0,5000,293.15,293.15,0,0,0,0,0,0
223200,0,0,275.15,1028310.5,0,0,5000,293.15,293.15,0,0,0,0,0,0
226800,0,0,275.55,1028767.1,0,0,5000,293.15,293.15,0,0,0,0,0,0
230400,0,0,275.01,1029223.75,0,0,5000,293.15,293.15,0,0,0,0,0,0
234000,0,0,274.23,1029680.4,0,0,5000,293.15,293.15,0,0,0,0,0,0
237600,0,0,273.17,1030137,0,0,5000,293.15,293.15,0,0,0,0,0,0
241200,0,0,272.28,1030593.6,0,0,5000,293.15,293.15,0,0,0,0,0,0
244800,0,0,272.69,1031050.25,0,0,5000,293.15,293.15,0,0,0,0,0,0
248400,0,0,272.02,1031506.9,0,0,5000,293.15,293.15,0,0,0,0,0,0
252000,0,0,271.73,1031963.5,0,0,5000,293.15,293.15,0,0,0,0,0,0
255600,0,0,271.45,1032420.06,0,0,5000,293.15,293.15,0,0,0,0,0,0
259200,0,0,269.97,1032876.7,0,0,5000,293.15,293.15,0,0,0,0,0,0
262800,0,0,269.76,1033333.3,0,0,5000,293.15,293.15,0,0,0,0,0,0
266400,0,0,269.93,1033789.94,0,0,5000,293.15,293.15,0,0,0,0,0,0
270000,0,0,270.94,1034246.56,0,0,5000,293.15,293.15,0,0,0,0,0,0
273600,0,0,270.65,1034703.2,0,0,5000,293.15,293.15,0,0,0,0,0,0
277200,0,0,269.86,1035159.8,0,0,5000,293.15,293.15,0,0,0,0,0,0
280800,0,0,268.79,1035616.44,0,0,5000,293.15,293.15,0,0,0,0,0,0
284400,0,0,270.65,1036073.06,0,0,5000,293.15,293.15,0,0,0,0,0,0
288000,0,0,273.61,1036529.7,0,0,5000,293.15,293.15,0,0,0,0,0,0
291600,0,0,274.79,1036986.3,0,0,5000,293.15,293.15,0,0,0,0,0,0
295200,0,0,277.19,1037442.94,0,0,5000,293.15,293.15,0,0,0,0,0,0
298800,0,0,278.97,1037899.56,0,0,5000,293.15,293.15,0,0,0,0,0,0
302400,0,0,279.69,1038356.2,0,0,5000,293.15,293.15,0,0,0,0,0,0
306000,0,0,280.38,1038812.8,0,0,5000,293.15,293.15,0,0,0,0,0,0
309600,0,0,280.06,1039269.44,0,0,5000,293.15,293.15,0,0,0,0,0,0
313200,0,0,280.07,1039726,0,0,5000,293.15,293.15,0,0,0,0,0,0
316800,0,0,279.52,1040182.6,0,0,5000,293.15,293.15,0,0,0,0,0,0
320400,0,0,277.61,1040639.25,0,0,5000,293.15,293.15,0,0,0,0,0,0
324000,0,0,276.52,1041095.9,0,0,5000,293.15,293.15,0,0,0,0,0,0
327600,0,0,275.76,1041552.5,0,0,5000,293.15,293.15,0,0,0,0,0,0
331200,0,0,274.97,1042009.1,0,0,5000,293.15,293.15,0,0,0,0,0,0
334800,0,0,274.69,1042465.75,0,0,5000,293.15,293.15,0,0,0,0,0,0
338400,0,0,273.33,1042922.4,0,0,5000,293.15,293.15,0,0,0,0,0,0
342000,0,0,273.56,1043379,0,0,5000,293.15,293.15,0,0,0,0,0,0
345600,0,0,270.77,1043835.6,0,0,5000,293.15,293.15,0,0,0,0,0,0
349200,0,0,270.26,1044292.25,0,0,5000,293.15,293.15,0,0,0,0,0,0
352800,0,0,270.5,1044748.9,0,0,5000,293.15,293.15,0,0,0,0,0,0
356400,0,0,268.96,1045205.5,0,0,5000,293.15,293.15,0,0,0,0,0,0
360000,0,0,272.69,1045662.1,0,0,5000,293.15,293.15,0,0,0,0,0,0
363600,0,0,273.33,1046118.75,0,0,5000,293.15,293.15,0,0,0,0,0,0
367200,0,0,274.79,1046575.3,0,0,5000,293.15,293.15,0,0,0,0,0,0
370800,0,0,275.06,1047031.94,0,0,5000,293.15,293.15,0,0,0,0,0,0
374400,0,0,275.4,1047488.56,0,0,5000,293.15,293.15,0,0,0,0,0,0
378000,0,0,276.3,1047945.2,0,0,5000,293.15,293.15,0,0,0,0,0,0
381600,0,0,277.08,1048401.8,0,0,5000,293.15,293.15,0,0,0,0,0,0
385200,0,0,278.07,1048858.5,0,0,5000,293.15,293.15,0,0,0,0,0,0
388800,0,0,277.53,1049315.1,0,0,5000,293.15,293.15,0,0,0,0,0,0
392400,0,0,276.56,1049771.8,0,0,5000,293.15,293.15,0,0,0,0,0,0
396000,0,0,277.01,1050228.2,0,0,5000,293.15,293.15,0,0,0,0,0,0
399600,0,0,277.26,1050684.9,0,0,5000,293.15,293.15,0,0,0,0,0,0
403200,0,0,276.27,1051141.5,0,0,5000,293.15,293.15,0,0,0,0,0,0
406800,0,0,274.61,1051598.1,0,0,5000,293.15,293.15,0,0,0,0,0,0
410400,0,0,273.13,1052054.8,0,0,5000,293.15,293.15,0,0,0,0,0,0
414000,0,0,273.13,1052511.4,0,0,5000,293.15,293.15,0,0,0,0,0,0
417600,0,0,273.8,1052968,0,0,5000,293.15,293.15,0,0,0,0,0,0
421200,0,0,273.77,1053424.6,0,0,5000,293.15,293.15,0,0,0,0,0,0
424800,0,0,273.65,1053881.2,0,0,5000,293.15,293.15,0,0,0,0,0,0
428400,0,0,272.88,1054337.9,0,0,5000,293.15,293.15,0,0,0,0,0,0
432000,0,0,273.18,1054794.5,0,0,5000,293.15,293.15,0,0,0,0,0,0
435600,0,0,273.11,1055251.1,0,0,5000,293.15,293.15,0,0,0,0,0,0
439200,0,0,272.7,1055707.8,0,0,5000,293.15,293.15,0,0,0,0,0,0
442800,0,0,271.73,1056164.4,0,0,5000,293.15,293.15,0,0,0,0,0,0
446400,0,0,270.39,1056621,0,0,5000,293.15,293.15,0,0,0,0,0,0
450000,0,0,270.39,1057077.6,0,0,5000,293.15,293.15,0,0,0,0,0,0
453600,0,0,269.96,1057534.2,0,0,5000,293.15,293.15,0,0,0,0,0,0
457200,0,0,270.67,1057990.9,0,0,5000,293.15,293.15,0,0,0,0,0,0
460800,0,0,270.51,1058447.5,0,0,5000,293.15,293.15,0,0,0,0,0,0
464400,0,0,270.14,1058904.1,0,0,5000,293.15,293.15,0,0,0,0,0,0
468000,0,0,270.83,1059360.8,0,0,5000,293.15,293.15,0,0,0,0,0,0
471600,0,0,270.83,1059817.4,0,0,5000,293.15,293.15,0,0,0,0,0,0
475200,0,0,271.38,1060274,0,0,5000,293.15,293.15,0,0,0,0,0,0
478800,0,0,271.81,1060730.6,0,0,5000,293.15,293.15,0,0,0,0,0,0
482400,0,0,271.81,1061187.2,0,0,5000,293.15,293.15,0,0,0,0,0,0
486000,0,0,271.81,1061643.9,0,0,5000,293.15,293.15,0,0,0,0,0,0
489600,0,0,271.81,1062100.5,0,0,5000,293.15,293.15,0,0,0,0,0,0
493200,0,0,271.81,1062557.1,0,0,5000,293.15,293.15,0,0,0,0,0,0
496800,0,0,271.38,1063013.8,0,0,5000,293.15,293.15,0,0,0,0,0,0
500400,0,0,271.17,1063470.4,0,0,5000,293.15,293.15,0,0,0,0,0,0
504000,0,0,271.56,1063927,0,0,5000,293.15,293.15,0,0,0,0,0,0
507600,0,0,271.25,1064383.5,0,0,5000,293.15,293.15,0,0,0,0,0,0
511200,0,0,271.25,1064840.1,0,0,5000,293.15,293.15,0,0,0,0,0,0
514800,0,0,271.46,1065296.8,0,0,5000,293.15,293.15,0,0,0,0,0,0
518400,0,0,271.04,1065753.4,0,0,5000,293.15,293.15,0,0,0,0,0,0
522000,0,0,271.04,1066210,0,0,5000,293.15,293.15,0,0,0,0,0,0
525600,0,0,270.88,1066666.6,0,0,5000,293.15,293.15,0,0,0,0,0,0
529200,0,0,270.39,1067123.2,0,0,5000,293.15,293.15,0,0,0,0,0,0
532800,0,0,270.39,1067579.9,0,0,5000,293.15,293.15,0,0,0,0,0,0
536400,0,0,269.81,1068036.5,0,0,5000,293.15,293.15,0,0,0,0,0,0
540000,0,0,270.19,1068493.1,0,0,5000,293.15,293.15,0,0,0,0,0,0
543600,0,0,270.67,1068949.8,0,0,5000,293.15,293.15,0,0,0,0,0,0
547200,0,0,270.67,1069406.4,0,0,5000,293.15,293.15,0,0,0,0,0,0
550800,0,0,270.67,1069863,0,0,5000,293.15,293.15,0,0,0,0,0,0
554400,0,0,271.25,1070319.6,0,0,5000,293.15,293.15,0,0,0,0,0,0
558000,0,0,271.09,1070776.2,0,0,5000,293.15,293.15,0,0,0,0,0,0
561600,0,0,271.17,1071232.9,0,0,5000,293.15,293.15,0,0,0,0,0,0
565200,0,0,271.56,1071689.5,0,0,5000,293.15,293.15,0,0,0,0,0,0
568800,0,0,271.56,1072146.1,0,0,5000,293.15,293.15,0,0,0,0,0,0
572400,0,0,271.56,1072602.8,0,0,5000,293.15,293.15,0,0,0,0,0,0
576000,0,0,271.39,1073059.4,0,0,5000,293.15,293.15,0,0,0,0,0,0
579600,0,0,271.09,1073516,0,0,5000,293.15,293.15,0,0,0,0,0,0
