Time,electricalGroup.Ppv,electricalGroup.Ir,electricalGroup.Pdem,electricalGroup.Ppla,electricalGroup.Pgen,electricalGroup.Soc,electricalGroup.Pbat,electricalGroup.Pgri.real,electricalGroup.batCon1.chaCyc.active,electricalGroup.batCon1.staBy.active,electricalGroup.batCon1.disCyc.active
0,0.00,0.00,-10994957.00,0.00,7196211.00,0.50,0.00,3798746.50,0.00,0.00,1.00
3600,0.00,0.00,-10955582.00,0.00,7400128.00,0.49,-3557542.00,-2087.75,0.00,0.00,1.00
7200,0.00,0.00,-10891327.00,0.00,7633626.00,0.49,-3260256.00,-2555.10,0.00,0.00,1.00
10800,0.00,0.00,-10986413.00,0.00,7851213.50,0.48,-3136251.20,-1051.21,0.00,0.00,1.00
14400,0.00,0.00,-11105312.00,0.00,8088488.50,0.47,-3017839.80,-1015.82,0.00,0.00,1.00
18000,0.00,0.00,-11151833.00,0.00,8273101.50,0.47,-2879916.50,-1185.01,0.00,0.00,1.00
21600,0.00,0.00,-11260854.00,0.00,8473076.00,0.46,-2788558.20,-780.50,0.00,0.00,1.00
25200,15331.60,7.89,-11362227.00,0.00,8689328.00,0.46,-2659195.80,-1627.91,0.00,0.00,1.00
28800,344979.03,177.46,-11372734.00,0.00,8866050.00,0.45,-2167850.50,-6145.37,0.00,0.00,1.00
32400,779725.80,401.09,-11303851.00,0.00,8952138.00,0.45,-1576869.00,-4882.19,0.00,0.00,1.00
36000,1193327.80,613.85,-11300117.00,0.00,9046957.00,0.44,-1063473.60,-3641.33,0.00,0.00,1.00
39600,1318497.00,678.24,-11301920.00,0.00,9171388.00,0.44,-812905.94,-871.05,0.00,0.00,1.00
43200,1296020.60,666.68,-11304430.00,0.00,9252199.00,0.44,-756750.44,-540.01,0.00,0.00,1.00
46800,1026173.90,527.87,-11395961.00,0.00,9367080.00,0.44,-998123.44,4583.50,0.00,0.00,1.00
50400,617815.50,317.81,-11259274.00,0.00,9510983.00,0.44,-1130369.50,105.50,0.00,0.00,1.00
54000,307881.53,158.38,-11312368.00,0.00,9671080.00,0.43,-1331343.10,2063.21,0.00,0.00,1.00
57600,86906.66,44.71,-11418691.00,0.00,9866442.00,0.43,-1464858.90,483.58,0.00,0.00,1.00
61200,12625.44,6.49,-11422410.00,0.00,10080063.00,0.43,-1331162.60,-1441.58,0.00,0.00,1.00
64800,0.00,0.00,-11519582.00,0.00,10331405.00,0.43,-1189499.80,-1322.97,0.00,0.00,1.00
68400,0.00,0.00,-11482543.00,0.00,10491971.00,0.42,-992267.70,-1695.70,0.00,0.00,1.00
72000,0.00,0.00,-11379355.00,0.00,10670082.00,0.42,-711687.30,-2413.90,0.00,0.00,1.00
75600,0.00,0.00,-11265042.00,0.00,10780178.00,0.42,-486790.00,-1925.71,0.00,0.00,1.00
79200,0.00,0.00,-11187431.00,0.00,10902954.00,0.42,-286196.90,-1719.57,0.00,0.00,1.00
82800,0.00,0.00,-11017474.00,0.00,10994839.00,0.42,-24881.64,-2246.94,0.00,0.00,1.00
86400,0.00,0.00,-10988343.00,0.00,11103406.00,0.42,113881.14,-1181.62,1.00,0.00,0.00
90000,0.00,0.00,-10954886.00,0.00,11229167.00,0.42,272914.28,-1366.29,1.00,0.00,0.00
93600,0.00,0.00,-10940036.00,0.00,11298539.00,0.42,357779.97,-722.73,1.00,0.00,0.00
97200,0.00,0.00,-10854636.00,0.00,11409614.00,0.42,553292.25,-1686.01,1.00,0.00,0.00
100800,0.00,0.00,-11054080.00,0.00,11442328.00,0.42,389678.28,1430.76,1.00,0.00,0.00
104400,0.00,0.00,-11128628.00,0.00,11512713.00,0.42,384120.94,35.72,1.00,0.00,0.00
108000,0.00,0.00,-11162511.00,0.00,11621486.00,0.42,458332.47,-642.65,1.00,0.00,0.00
111600,4505.14,2.32,-10951536.00,0.00,11629263.00,0.42,680185.94,-2046.52,1.00,0.00,0.00
115200,96312.98,49.54,-10915763.00,0.00,11743328.00,0.42,920854.20,-3023.41,1.00,0.00,0.00
118800,254310.64,130.82,-10936648.00,0.00,11687220.00,0.43,1004491.60,-390.64,1.00,0.00,0.00
122400,280762.34,144.43,-10972413.00,0.00,11575105.00,0.43,885268.44,1814.19,1.00,0.00,0.00
126000,646197.75,332.41,-10921002.00,0.00,16484430.00,0.43,6159173.50,-50451.85,1.00,0.00,0.00
129600,685214.70,352.48,-10841357.00,0.00,16498258.00,0.44,6347776.00,5660.59,1.00,0.00,0.00
133200,338756.28,174.26,-10841429.00,0.00,16476486.00,0.45,5974867.00,1053.99,1.00,0.00,0.00
136800,284728.47,146.47,-10797617.00,0.00,16471144.00,0.46,5957860.00,-395.46,1.00,0.00,0.00
140400,210931.28,108.50,-10922750.00,0.00,11452221.00,0.46,785521.50,45118.72,1.00,0.00,0.00
144000,99232.37,51.05,-11005684.00,0.00,11431069.00,0.46,526479.75,1862.75,1.00,0.00,0.00
147600,11111.86,5.72,-11203869.00,0.00,11423042.00,0.46,232457.30,2172.77,1.00,0.00,0.00
151200,0.00,0.00,-11023475.00,0.00,11457765.00,0.46,432444.34,-1845.98,1.00,0.00,0.00
154800,0.00,0.00,-11036376.00,0.00,11479551.00,0.46,443098.28,-76.24,1.00,0.00,0.00
158400,0.00,0.00,-10966506.00,0.00,11404031.00,0.46,437573.00,48.48,1.00,0.00,0.00
162000,0.00,0.00,-10732920.00,0.00,11387826.00,0.46,653040.90,-1865.41,1.00,0.00,0.00
165600,0.00,0.00,-10606387.00,0.00,11317285.00,0.47,710417.40,-480.48,1.00,0.00,0.00
