Time,CO2_ele,CO2_gas,Ele_buy,Ele_sell,Gas_buy,Dem_cha
0.00,0.000338,2.75,0.05,0.03,0.58,22.79
3600.00,0.000356,2.75,0.05,0.03,0.58,22.79
7200.00,0.000372,2.75,0.05,0.03,0.58,22.79
10800.00,0.000447,2.75,0.05,0.03,0.58,22.79
14400.00,0.000441,2.75,0.05,0.03,0.58,22.79
18000.00,0.000411,2.75,0.05,0.03,0.58,22.79
21600.00,0.000506,2.75,0.05,0.03,0.58,22.79
25200.00,0.000495,2.75,0.05,0.03,0.58,22.79
28800.00,0.000498,2.75,0.05,0.03,0.58,22.79
32400.00,0.000522,2.75,0.05,0.03,0.58,22.79
36000.00,0.000445,2.75,0.05,0.03,0.58,22.79
39600.00,0.000426,2.75,0.05,0.03,0.58,22.79
43200.00,0.000475,2.75,0.05,0.03,0.58,22.79
46800.00,0.000537,2.75,0.06,0.03,0.58,22.79
50400.00,0.000595,2.75,0.06,0.03,0.58,22.79
54000.00,0.000615,2.75,0.11,0.03,0.58,22.79
57600.00,0.000751,2.75,0.11,0.03,0.58,22.79
61200.00,0.000724,2.75,0.11,0.03,0.58,22.79
64800.00,0.000718,2.75,0.11,0.03,0.58,22.79
68400.00,0.000713,2.75,0.06,0.03,0.58,22.79
72000.00,0.000748,2.75,0.06,0.03,0.58,22.79
75600.00,0.000770,2.75,0.05,0.03,0.58,22.79
79200.00,0.000809,2.75,0.05,0.03,0.58,22.79
82800.00,0.000789,2.75,0.05,0.03,0.58,22.79
86400.00,0.000783,2.75,0.05,0.03,0.58,22.79
90000.00,0.000767,2.75,0.05,0.03,0.58,22.79
93600.00,0.000740,2.75,0.05,0.03,0.58,22.79
97200.00,0.000742,2.75,0.05,0.03,0.58,22.79
100800.00,0.000735,2.75,0.05,0.03,0.58,22.79
104400.00,0.000615,2.75,0.05,0.03,0.58,22.79
108000.00,0.000541,2.75,0.05,0.03,0.58,22.79
111600.00,0.000461,2.75,0.05,0.03,0.58,22.79
115200.00,0.000409,2.75,0.05,0.03,0.58,22.79
118800.00,0.000382,2.75,0.05,0.03,0.58,22.79
122400.00,0.000554,2.75,0.05,0.03,0.58,22.79
126000.00,0.000609,2.75,0.05,0.03,0.58,22.79
129600.00,0.000617,2.75,0.05,0.03,0.58,22.79
133200.00,0.000623,2.75,0.06,0.03,0.58,22.79
136800.00,0.000602,2.75,0.06,0.03,0.58,22.79
140400.00,0.000590,2.75,0.11,0.03,0.58,22.79
144000.00,0.000587,2.75,0.11,0.03,0.58,22.79
147600.00,0.000592,2.75,0.11,0.03,0.58,22.79
151200.00,0.000565,2.75,0.11,0.03,0.58,22.79
154800.00,0.000571,2.75,0.06,0.03,0.58,22.79
158400.00,0.000569,2.75,0.06,0.03,0.58,22.79
162000.00,0.000564,2.75,0.05,0.03,0.58,22.79
165600.00,0.000543,2.75,0.05,0.03,0.58,22.79
169200.00,0.000428,2.75,0.05,0.03,0.58,22.79
172800.00,0.000364,2.75,0.05,0.03,0.58,22.79
176400.00,0.000358,2.75,0.05,0.03,0.58,22.79
180000.00,0.000336,2.75,0.05,0.03,0.58,22.79
183600.00,0.000357,2.75,0.05,0.03,0.58,22.79
187200.00,0.000365,2.75,0.05,0.03,0.58,22.79
190800.00,0.000480,2.75,0.05,0.03,0.58,22.79
194400.00,0.000498,2.75,0.05,0.03,0.58,22.79
198000.00,0.000452,2.75,0.05,0.03,0.58,22.79
201600.00,0.000364,2.75,0.05,0.03,0.58,22.79
205200.00,0.000364,2.75,0.05,0.03,0.58,22.79
208800.00,0.000544,2.75,0.05,0.03,0.58,22.79
212400.00,0.000479,2.75,0.05,0.03,0.58,22.79
216000.00,0.000463,2.75,0.05,0.03,0.58,22.79
219600.00,0.000476,2.75,0.06,0.03,0.58,22.79
223200.00,0.000399,2.75,0.06,0.03,0.58,22.79
226800.00,0.000309,2.75,0.11,0.03,0.58,22.79
230400.00,0.000436,2.75,0.11,0.03,0.58,22.79
234000.00,0.000462,2.75,0.11,0.03,0.58,22.79
237600.00,0.000496,2.75,0.11,0.03,0.58,22.79
241200.00,0.000496,2.75,0.06,0.03,0.58,22.79
244800.00,0.000449,2.75,0.06,0.03,0.58,22.79
248400.00,0.000319,2.75,0.05,0.03,0.58,22.79
252000.00,0.000312,2.75,0.05,0.03,0.58,22.79
255600.00,0.000315,2.75,0.05,0.03,0.58,22.79
259200.00,0.000318,2.75,0.05,0.03,0.58,22.79
262800.00,0.000316,2.75,0.05,0.03,0.58,22.79
266400.00,0.000327,2.75,0.05,0.03,0.58,22.79
270000.00,0.000325,2.75,0.05,0.03,0.58,22.79
273600.00,0.000334,2.75,0.05,0.03,0.58,22.79
277200.00,0.000427,2.75,0.05,0.03,0.58,22.79
280800.00,0.000537,2.75,0.05,0.03,0.58,22.79
284400.00,0.000543,2.75,0.05,0.03,0.58,22.79
288000.00,0.000571,2.75,0.05,0.03,0.58,22.79
291600.00,0.000568,2.75,0.05,0.03,0.58,22.79
295200.00,0.000603,2.75,0.05,0.03,0.58,22.79
298800.00,0.000601,2.75,0.05,0.03,0.58,22.79
302400.00,0.000589,2.75,0.05,0.03,0.58,22.79
306000.00,0.000575,2.75,0.06,0.03,0.58,22.79
309600.00,0.000610,2.75,0.06,0.03,0.58,22.79
313200.00,0.000554,2.75,0.11,0.03,0.58,22.79
316800.00,0.000587,2.75,0.11,0.03,0.58,22.79
320400.00,0.000594,2.75,0.11,0.03,0.58,22.79
324000.00,0.000615,2.75,0.11,0.03,0.58,22.79
327600.00,0.000630,2.75,0.06,0.03,0.58,22.79
331200.00,0.000663,2.75,0.06,0.03,0.58,22.79
334800.00,0.000665,2.75,0.05,0.03,0.58,22.79
338400.00,0.000616,2.75,0.05,0.03,0.58,22.79
342000.00,0.000548,2.75,0.05,0.03,0.58,22.79
345600.00,0.000513,2.75,0.05,0.03,0.58,22.79
349200.00,0.000602,2.75,0.05,0.03,0.58,22.79
352800.00,0.000557,2.75,0.05,0.03,0.58,22.79
356400.00,0.000596,2.75,0.05,0.03,0.58,22.79
360000.00,0.000669,2.75,0.05,0.03,0.58,22.79
363600.00,0.000721,2.75,0.05,0.03,0.58,22.79
