Time,heatingGroupFmu.mSteDem,heatingGroupFmu.absChiOn,heatingGroupFmu.pSteTur,heatingGroupFmu.pGasTur,heatingGroupFmu.pGenTot,heatingGroupFmu.mSteBoi,heatingGroupFmu.mSteChp,heatingGroupFmu.mFueChp,heatingGroupFmu.mFueBoi,heatingGroupFmu.qAbsChi,heatingGroupFmu.boilerFWPum.boi.y,heatingGroupFmu.preChp.p,heatingGroupFmu.preBoi.p,heatingGroupFmu.ext,heatingGroupFmu.yChp,heatingGroupFmu.TAmb,heatingGroupFmu.boilerFWPum.port_a.p,heatingGroupFmu.chp.botCycExp.Qboi,heatingGroupFmu.chp.botCycExp.QsteAbs,heatingGroupFmu.chp.botCycExp.Qlos,heatingGroupFmu.chp.botCycExp.exhQ.y,heatingGroupFmu.qFueChp,qUse,qUseSum
0,15.12,0,0,7196211,7196211,12.196162,16.551176,0.6304105,0,0,0,97215.875,99447.07,0,0.6,265.35,101325,15932117,0,-5670728.5,21602846,30016365.55,21602846,21602845.5
3600.003,15.690001,0,0,7400128,7400128,8.869211,6.820704,0.63804954,0.4625188,0,0.34156135,896603.8,897783.75,0,0.617002,265.35,101325,16006166,0,-5711944,2.17E+07,30380090.8,21718110,21718110
7200.006,15.95,0,0,7633626,7633626,9.070895,6.878871,0.6482576,0.47304177,0,0.34933236,896897.94,898132.2,0,0.6339733,264.25,101325,16142836,0,-5797349,21940186,30866137.37,21940186,21940185
10800.009,16.11,0,0,7851213.5,7851213.5,9.185088,6.9248533,0.65666103,0.4789939,0,0.35372788,896969.75,898235.2,0,0.65088314,263.75,101325,16250689,0,-5858121.5,2.21E+07,31266258.28,22108810,22108810.5
14400.012,16.62,0,0,8088488.5,8088488.5,9.630474,6.989388,0.6665838,0.50221694,0,0.37087765,896400.5,897791.7,0,0.66770107,262.55,101325,16401971,0,-5946766.5,22348738,31738721.05,22348738,22348737.5
18000.014,17.1,0,0,8273101.5,8273101.5,10.085991,7.0139227,0.6716687,0.5259739,0,0.38842174,896248.2,897774.06,0,0.68439656,263.15,101325,16459509,0,-5961673,22421182,31980833.48,22421182,22421182
21600.018,17.420002,0,0,8473076,8473076,10.366143,7.0537524,0.6780168,0.5405802,0,0.3992082,896324.5,897936.4,0,0.7009396,263.15,101325,16552921,0,-5999430.5,22552352,32283091.92,22552352,22552351.5
25200.02,17.84,0,0,8689328,8689328,10.746072,7.0938535,0.6853842,0.56039405,0,0.41384035,896062.2,897794.4,0,0.7173001,262.55,101325,16647023,0,-6047354,22694378,32633883.3,22694378,22694377
28800.023,18.009998,0,0,8866050,8866050,10.905685,7.1041822,0.68950844,0.56871885,0,0.41998807,896207.5,897991.5,0,0.7334486,263.15002,101325,16670949,0,-6047160.5,2.27E+07,32830254.86,22718110,22718109.5
32400.025,17.809998,0,0,8952138,8952138,10.765291,7.0447707,0.68675166,0.5613995,0,0.41458288,896666.1,898404.5,0,0.7493559,266.45,101325,16531537,0,-5943444.5,22474982,32698993.54,22474982,22474981.5
